SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,OPEN_INT,CHG_IN_OI,COI_OI,COI_CHOI,COUNT
NIFTY,22-APR-2020,9001.0,9219.9,8933.25,9188.3,9405525,-156075,12018975,182250,3
NIFTY,22-APR-2020,8876.8,9250.0,8876.8,9216.5,2325750,322875,12018975,182250,4
NIFTY,22-APR-2020,8875.2,9238.25,8875.2,9211.35,287700,15450,12018975,182250,5
BANKNIFTY,23-APR-2020,19797.95,20299.85,19539.9,20182.75,1285180,-8760,1474820,14560,0
BANKNIFTY,23-APR-2020,19797.7,20297.2,19552.85,20179.1,177540,23520,1474820,14560,1
BANKNIFTY,23-APR-2020,19736.95,20314.0,19670.25,20183.6,12100,-200,1474820,14560,2
NIFTY,23-APR-2020,9200.0,9327.8,9158.45,9296.75,9105825,-299700,11909700,-109275,3
NIFTY,23-APR-2020,9195.55,9346.65,9186.55,9319.4,2489850,164100,11909700,-109275,4
NIFTY,23-APR-2020,9208.65,9341.4,9192.45,9317.95,314025,26325,11909700,-109275,5
BANKNIFTY,24-APR-2020,19734.8,19860.0,19381.0,19517.1,1230160,-55020,1453840,-20980,0
BANKNIFTY,24-APR-2020,20120.0,20120.0,19393.95,19524.75,211620,34080,1453840,-20980,1
BANKNIFTY,24-APR-2020,19696.75,19877.5,19445.3,19574.05,12060,-40,1453840,-20980,2
NIFTY,24-APR-2020,9165.0,9260.0,9115.0,9138.25,8799300,-306525,11708175,-201525,3
NIFTY,24-APR-2020,9201.05,9281.55,9142.05,9163.8,2571225,81375,11708175,-201525,4
NIFTY,24-APR-2020,9200.05,9278.3,9135.15,9160.25,337650,23625,11708175,-201525,5
BANKNIFTY,27-APR-2020,19690.0,20240.0,19690.0,20107.1,979460,-250700,1337580,-116260,0
BANKNIFTY,27-APR-2020,19800.0,20217.7,19750.9,20075.0,346800,135180,1337580,-116260,1
BANKNIFTY,27-APR-2020,19846.0,20240.0,19829.15,20092.5,11320,-740,1337580,-116260,2
NIFTY,27-APR-2020,9230.55,9373.75,9230.55,9295.15,7084200,-1715100,10881675,-826500,3
NIFTY,27-APR-2020,9240.1,9387.55,9240.1,9311.25,3455100,883875,10881675,-826500,4
NIFTY,27-APR-2020,9253.5,9380.0,9253.5,9309.65,342375,4725,10881675,-826500,5
